seqid	len	gc	cov_/workspace/cflcyd/blobology/LsA2v1_scaffolds.fasta.clean.Manuka_Nuclear_gDNA_C3R0AACXX_GCCAAT_L003.bowtie2.bam	cov_/workspace/cflcyd/blobology/LsA2v1_scaffolds.fasta.clean.Manuka_Nuclear_gDNA_C3R0AACXX_GCCAAT_L004.bowtie2.bam	taxlevel_species	taxlevel_genus	taxlevel_order	taxlevel_phylum	taxlevel_superkingdom
LsA2v1_scaffold11459	1048	0.551526717557252	31.4437022900764	29.520038167939	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8929	1380	0.534782608695652	4.42391304347826	6.57246376811595	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold369	327895	0.386965628475732	53.8680644719728	54.325351103366	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold4519	9843	0.388804226353754	90.5622269633234	90.4313725490186	Eucalyptus guilfoylei	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold5318	5959	0.516256157635468	4.10672931699949	3.61520389327068	Parastagonospora nodorum	Parastagonospora	Pleosporales	Ascomycota	Eukaryota
LsA2v1_scaffold11258	1066	0.528142589118199	12.3696060037523	10.0572232645403	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold2532	59956	0.385434889434889	31.3310761224853	32.174628060573	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold7244	2563	0.524385485758876	5.05150214592275	4.15216543113539	Pseudocercospora fijiensis	Pseudocercospora	Capnodiales	Ascomycota	Eukaryota
LsA2v1_scaffold1593	57167	0.384410983170948	47.9969038081166	47.7124914723286	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold6552	3525	0.549659477866061	5.02581560283687	4.94921985815602	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold10559	1134	0.445326278659612	932.894179894183	941.487654320989	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold11276	1065	0.596244131455399	4.37652582159624	4.27699530516432	Schizophyllum commune	Schizophyllum	Agaricales	Basidiomycota	Eukaryota
LsA2v1_scaffold8196	1612	0.508064516129032	4.6197270471464	3.55955334987593	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold10811	1108	0.532490974729242	3.75541516245487	5.70848375451264	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5128	6433	0.707601430125913	6.51764340121249	7.54764495569716	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold11450	1049	0.732125834127741	11.1687321258341	10.6253574833175	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8051	1687	0.459395376407825	160.33550681684	152.039715471255	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold4779	7452	0.571486928104575	2.99651100375739	3.0601180891036	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5867	4629	0.501059571462209	4.24929790451502	4.87016634262261	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8134	1640	0.524390243902439	3.67865853658537	6.21585365853657	Cladophialophora psammophila	Cladophialophora	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold10921	1100	0.525454545454546	15.5554545454546	15.6427272727273	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5225	6173	0.537198308036825	3.13105459258061	2.47821156649928	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold466	178850	0.535109120684469	4.7235113223368	4.68122448979554	Neofusicoccum parvum	Neofusicoccum	Botryosphaeriales	Ascomycota	Eukaryota
LsA2v1_scaffold4761	7508	0.70964304741609	6.40836441129467	7.09176877996811	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold10111	1183	0.513102282333052	6.17075232459849	4.34150464919696	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8935	1379	0.749093546047861	9.25743292240755	8.34010152284264	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold7230	2576	0.69138198757764	7.38315217391302	6.6851708074534	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold1632	56682	0.434350286520163	229.714900674064	231.971772344087	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold2277	31415	0.403095558546433	36.2335826834258	35.9987267228975	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold5799	4808	0.50190204469805	16.6414309484195	17.1973793677207	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold6279	3916	0.507405515832482	7.03830439223693	6.88891726251273	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold4451	8565	0.502126151665485	3.07740805604203	3.12375948628137	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold9191	1318	0.534901365705615	4.02807283763277	4.82321699544765	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold7348	2377	0.533445519562474	4.33824148085822	5.01682793437104	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1487	121744	0.376787668734039	71.4713990011442	72.1376659218981	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold3243	15906	0.678926191374324	7.60354583176177	8.26134791902444	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold5170	6311	0.51340307289964	4.53066075106954	3.686103628585	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold12185	992	0.47883064516129	14.8659274193549	14.0201612903226	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold407	326289	0.492394120604252	10.2964672422295	10.2430452758133	Capronia epimyces	Capronia	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold12321	978	0.612474437627812	5.94274028629857	6.2321063394683	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8584	1469	0.540503744043567	4.96255956432948	5.5568413886998	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5083	6545	0.344996180290298	105.004889228427	105.689381207037	Stockwellia quadrifida	Stockwellia	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold4938	6907	0.412250217202433	37.9889966700443	35.9752425076008	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold2236	60558	0.384218612818262	49.886918326213	50.3074408005349	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold7651	2003	0.718422366450325	5.79580629056414	5.70893659510733	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold3510	14390	0.384043366460491	36.3141070187603	35.7707435719223	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold6678	3334	0.377737773777378	39.0779844031198	39.1910617876429	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold1023	95036	0.526246569075938	5.44970327033962	5.32827560082487	Zymoseptoria tritici	Zymoseptoria	Capnodiales	Ascomycota	Eukaryota
LsA2v1_scaffold5884	4589	0.57093048594465	8.0706036173458	6.54565264763563	Alicycliphilus denitrificans	Alicycliphilus	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold4485	8423	0.368601549599898	34.6080968775986	33.6257865368649	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold1608	55389	0.504463083773429	4.77894527794359	4.80916788532051	Capronia epimyces	Capronia	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold10105	1184	0.514358108108108	3.40371621621622	5.43074324324325	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold2988	19404	0.495336018655925	11.4854153782723	10.668264275407	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1639	55068	0.395371301279398	41.6289133435078	42.1677380693015	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold2949	19230	0.502272183688113	3.3751950078003	3.30010400416016	Verticillium alfalfae	Verticillium	Glomerellales	Ascomycota	Eukaryota
LsA2v1_scaffold8203	1608	0.494402985074627	7.98756218905474	10.1884328358209	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold3512	13730	0.504151742103549	10.7944646758921	10.9403495994172	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold9303	1300	0.526923076923077	5.46461538461538	4.0323076923077	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1627	54478	0.371602426289926	82.70241198281	83.6858731965097	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold7212	2604	0.388248847926267	35.5745007680489	36.5856374807985	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold6451	3679	0.452793834296724	6.87931503125849	5.67871704267464	Mortierella sp. 08CT03	Mortierella	Mortierellales	Not annotated	Eukaryota
LsA2v1_scaffold7583	2063	0.687348521570528	13.4023267086766	12.3053805138148	Methylobacterium extorquens	Methylobacterium	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold5541	5419	0.686658054991696	8.15501014947409	8.06163498800519	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold5096	6497	0.503471661553367	4.94612898260732	4.86055102354929	Colletotrichum gloeosporioides	Colletotrichum	Glomerellales	Ascomycota	Eukaryota
LsA2v1_scaffold974	295797	0.385847594151798	57.8929671360595	57.7853933608017	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold546	178511	0.382575026691879	59.7754144002004	60.2325234859129	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold8303	1566	0.5485312899106	4.12962962962963	4.54086845466156	Neofusicoccum parvum	Neofusicoccum	Botryosphaeriales	Ascomycota	Eukaryota
LsA2v1_scaffold7153	2684	0.550670640834575	4.86475409836065	4.90797317436661	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1552	59784	0.373143637375048	80.6897664927116	80.6849491502783	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold1208	136181	0.381832441624799	86.5431374420773	86.7128160316028	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold2926	19491	0.493677999438044	9.02247191011226	7.94874557488063	Capronia epimyces	Capronia	Chaetothyriales	Ascomycota	Eukaryota
LsA2v1_scaffold10541	1135	0.513656387665198	3.99471365638766	4.50925110132158	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold6559	3508	0.679304446978335	13.5464652223489	15.0655644241732	Rhodopseudomonas palustris	Rhodopseudomonas	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold4313	9101	0.48021978021978	4.4622568948467	3.80002197560706	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold6598	3447	0.402378880185669	35.8407310704965	34.9976791412828	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold2815	43589	0.514313047317683	16.2532978503764	16.1679093349253	Aspergillus oryzae	Aspergillus	Eurotiales	Ascomycota	Eukaryota
LsA2v1_scaffold4846	7268	0.390532544378698	44.1056686846469	45.2263346175035	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold9085	1344	0.551339285714286	20.2217261904763	18.7313988095239	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5981	4407	0.371000680735194	33.8352620830502	34.3410483321993	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5548	5406	0.684794672586016	7.89363669996297	7.87180910099886	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold4002	10565	0.551191905333562	3.19110269758635	3.24969238050164	Pseudocercospora fijiensis	Pseudocercospora	Capnodiales	Ascomycota	Eukaryota
LsA2v1_scaffold12536	953	0.67890870933893	4.15424973767051	4.35781741867786	Methylobacterium radiotolerans	Methylobacterium	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold11235	1069	0.504209541627689	5.0289990645463	5.24415341440598	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold3352	14944	0.404082033166519	25.5944191648816	25.8719887580293	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold343	213842	0.389183037737851	55.6226138925673	56.312628015147	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold3637	12786	0.719379157427938	10.8718911309243	11.3970749256999	Azospirillum lipoferum	Azospirillum	Rhodospirillales	Proteobacteria	Bacteria
LsA2v1_scaffold1358	69121	0.374004673384036	53.824423836485	53.2660551786238	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold93	566468	0.532146648191814	4.98242795709483	5.01333173277145	Zymoseptoria tritici	Zymoseptoria	Capnodiales	Ascomycota	Eukaryota
LsA2v1_scaffold8792	1411	0.48830616583983	3.85258681785967	5.79447200566973	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8146	1636	0.657701711491443	9.14425427872861	10.8838630806846	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold3979	10698	0.361562908954945	35.4149373714736	35.8636193681085	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold11754	1025	0.511219512195122	5.4	6.17073170731708	Baudoinia compniacensis	Baudoinia	Capnodiales	Ascomycota	Eukaryota
LsA2v1_scaffold10420	1146	0.545375218150087	5.24869109947644	4.58726003490401	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold820	219958	0.378734225348765	59.3384918938398	59.5220769418943	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold11903	1014	0.689349112426035	8.97041420118344	10.2080867850099	Methylocella silvestris	Methylocella	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold4859	7231	0.717183008623443	11.2025999170239	11.5248236758402	Methylobacterium populi	Methylobacterium	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold5450	5661	0.536922442244224	3.92987104751809	3.12276982865217	Pseudocercospora fijiensis	Pseudocercospora	Capnodiales	Ascomycota	Eukaryota
LsA2v1_scaffold3500	13794	0.497836349331235	3.62258953168047	3.78563143395682	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold11769	1025	0.592195121951219	6.79219512195122	7.64878048780488	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold5729	4973	0.689121254775789	6.70239292177757	7.16489040820427	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold1015	151810	0.549362514488307	9.39667347342133	9.77753771161349	Colletotrichum fioriniae	Colletotrichum	Glomerellales	Ascomycota	Eukaryota
LsA2v1_scaffold10597	1129	0.692648361381754	6.15234720992029	5.45704162976085	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold7658	1993	0.669342699448068	6.60110386352233	8.13998996487707	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold5179	6290	0.343402225755167	37.6143084260721	35.8149443561198	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold4466	8518	0.513831665685697	2.72880957971354	2.42474759333176	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold4983	6770	0.511013215859031	2.15967503692762	2.49379615952733	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold2018	50290	0.395506064824021	103.5957844502	104.258620003988	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold11474	1047	0.470869149952244	3.27984718242598	3.81566380133715	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold1442	64918	0.387833993072736	64.3905234295363	64.7869928216923	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold788	196392	0.409630821997075	85.7131807813983	85.8478400343236	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold10751	1114	0.519748653500898	11.5215439856373	10.1059245960503	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold5336	5924	0.691606266074351	5.88470627954086	7.27481431465228	Methylobacterium radiotolerans	Methylobacterium	Rhizobiales	Proteobacteria	Bacteria
LsA2v1_scaffold4011	10517	0.376413570274637	192.821336883131	196.52001521345	Allosyncarpia ternata	Allosyncarpia	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold12145	996	0.520080321285141	3.61244979919678	3.60943775100401	Picea glauca	Picea	Pinales	Streptophyta	Eukaryota
LsA2v1_scaffold3179	16520	0.51891307704184	3.48044794188865	3.57657384987897	Neofusicoccum parvum	Neofusicoccum	Botryosphaeriales	Ascomycota	Eukaryota
LsA2v1_scaffold2462	46257	0.398231735691019	61.899366582377	61.9339991785245	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold2605	33648	0.407909164868593	938.21552544011	944.164021636026	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold11526	1044	0.527777777777778	6.45593869731801	3.77203065134099	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold8292	1570	0.497452229299363	4.07707006369427	4.20191082802548	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold4365	8846	0.646619941216369	9.07291431155342	9.04148767804675	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
LsA2v1_scaffold9834	1223	0.506950122649223	7.3311529026983	6.52902698282912	Not annotated	Not annotated	Not annotated	Not annotated	Not annotated
LsA2v1_scaffold9659	1243	0.67739340305712	6.92276749798874	5.05631536604988	Pseudomonas protegens	Pseudomonas	Pseudomonadales	Proteobacteria	Bacteria
LsA2v1_scaffold2229	32552	0.356271696722067	37.842068075691	38.4325079872171	Eucalyptus grandis	Eucalyptus	Myrtales	Streptophyta	Eukaryota
LsA2v1_scaffold10323	1159	0.584124245038827	6.28731665228646	6.65660051768767	Delftia acidovorans	Delftia	Burkholderiales	Proteobacteria	Bacteria
